keyword,frequency
권리,83
협약,83
전문인력,83
대통령령사업,83
자체,83
외,82
연금,82
망,82
사무,82
부대,82
소프트웨어,82
유산,82
국외,82
검증,82
전담,82
피해자,82
의료기기,81
위반,81
대통령령시설,81
압력,81
문서,81
공익,81
정보보호,81
조항,80
연계,80
명칭,80
조성,80
년,79
대통령령규모이상,79
집합,79
시행,79
령경우,79
사항변경경우,79
전,78
정책관,78
화재,78
입찰,78
벤처기업,78
정기,77
허용,77
소유,77
관측,77
인정경우,76
법원,76
이익,76
항행,76
종류,76
건물,76
개인정보,76
주민,76
대표,76
항공교통,75
의무자,75
관광,75
등대통령령자,75
상담,75
선거,75
환자,75
경비,74
퇴직,74
관세,74
보상,74
은행,74
자본,74
현황,74
소,74
기반시설,74
기본법,74
수사,73
조달,73
운영자,73
보훈,73
복무,73
외부,73
지능,73
병,73
부분,72
소비자,72
재생,72
보관,72
집행,72
임상,72
인,72
공간정보,72
대출,71
요건해당,71
대통령령중요,71
검역,71
기술정보,70
중앙행정,70
자재,70
보고서,70
점,70
연수,70
자율,70
아동,70
해상,70
검정,69
정지,69
화학물질,69
계획서,69
시설장비,69
금지,69
매매,69
단계,69
평균,69
중앙행정기관,69
심의위원회,69
산정,68
대통령령기관,68
용품,68
감리,68
대기,68
제출,68
주관,68
부품,67
통신망,67
출자,67
작성,67
과학기술정보,67
자문,67
주주,67
홈페이지,67
사법,67
통제,67
보장,67
양도,67
형,67
육성,66
주거,66
관리기관,66
담보,66
전략,66
일정규모,66
관리법,66
질병,66
전문가,66
방제,65
병역,65
석유,65
계좌,65
일,65
협정,64
등해양수산부,64
개별,64
규격,64
우려,64
카드,64
등해양수산부령,64
필요인정,64
등해양,64
연료,63
자유,63
생태,63
수리,63
명령,63
감정,63
과장,63
군사,63
대응,62
직,62
시설등대통령령,62
첨단,62
임대주택,62
거리,62
수탁,62
위성,61
관,61
특허,61
분할,61
영리,61
불법,61
보고,61
예산,61
관서,61
품질관리,61
도서,61
인사,60
운행,60
보유,60
순환,60
안정,60
사유해당,60
원격,59
최저,59
소유자,59
참여,59
원자력,59
대통령령관계,59
상속,59
특례,59
일시,59
전환,59
소화,59
회수,59
내,59
유사,59
주소,59
마약,59
교육기관,58
구성,58
법인단체,58
령중요,58
촉진법,58
부령사항,58
부정,58
사용자,58
심판,58
용지,58
부장관,57
유효,57
협의,57
접근,57
요구,57
효율,57
축,57
오염물질,57
활주로,57
대통령령방법,57
건전,57
어린이,57
추진,57
식별,56
어선,56
채무,56
노동,56
온라인,56
정도,56
수익,56
발행,56
자연,56
협회,56
항목,56
연도,56
등농림,55
주파수,55
동원,55
매출액,55
노동부장관,55
고시기준,55
중소벤처기업,55
취업,55
령중요사항,54
가공,54
회의,54
임상시험,54
보건복지부장관,54
복지부장관,54
형식,54
대통령령금융,54
목표,54
농촌,54
교육부령,54
비행장,53
재,53
대통령령금액,53
교수,53
유형,53
임시,53
등농림축산,53
대통령령요건해당,53
등기획,53
등기획재정부,53
등기획재정부령,53
령서류,53
집단,53
농어촌,53
등농림축산식품부,53
기업부령,53
벤처기업부령,53
중소벤처기업부령,53
하천,53
변동,53
기술개발,52
양성,52
고정,52
대통령령사유경우,52
부과,52
기술자,52
시설설치,52
발급,52
전화,52
기록물,52
등환경,52
콘텐츠,52
사망,52
식물,52
등환경부령,52
소음,52
수수료,52
손해,52
기준충족,52
형사,51
체결,51
곤란,51
소재,51
국세,51
제작,51
발생경우,51
위,51
대한민국,51
합병,51
임금,51
신규,51
금융회사,51
상환,51
법조,51
지하,50
증서,50
공인,50
노출,50
확정,50
성분,50
동일,50
조세,50
고용노동부장관,50
진흥법,50
특화,50
협동조합,50
법무부,50
지수,49
재무,49
본인,49
홍보,49
령시설,49
침해,49
실험,49
경매,49
대통령령용도,49
상,49
관리과,49
계수,49
세부,49
연결,49
요청,49
특수관계,49
인권,49
공유,49
원장,49
간행물,49
광고,49
원산지,49
건설사업,48
가축,48
지진,48
제어,48
상시,48
이자,48
의사,48
핵심,48
사업관리,48
수요,48
유,48
물건,48
의료기관,48
특성,48
정상,47
디자인,47
대행기관,47
정보처리,47
추가,47
날,47
취소,47
경보,47
치료,47
매체,47
금융기관,47
성장,47
대통령령정보,47
물자,47
정,47
수급,47
본부,47
등대통령령사유경우,47
공,47
인수,47
미만,47
광역,46
정보관리,46
행사,46
고도,46
유전자,46
이력,46
관계자,46
준비,46
지표,46
예술,46
구조물,46
상표,46
사유해당경우,46
기준이상,45
방위,45
사이버,45
회,45
최소,45
지,45
선정,45
주체,45
조호,45
수도,45
국가유산,45
종사,45
신탁,45
목재,45
기한,45
재외,45
감독관,45
기업부장관,45
공통,45
관리부서,45
초과,45
소형,45
변경등,45
시료,45
관리책임자,45
기준적합,45
배관,45
필요경우,45
집합투자,45
기업부,45
면허,44
교류,44
벤처기업부장관,44
지방세,44
비서관,44
일정규모이상,44
개방,44
관련기관,44
감독원장,44
농산물,44
농림수산,44
중소벤처기업부장관,44
정리,44
복구,44
최종,44
사업등,44
동력,44
중소벤처기업부,44
제안,44
보건의료,44
수집,44
벤처기업부,44
해역,44
대통령령것,44
산업단지,44
재료,43
병원,43
외교,43
대체,43
유기,43
스마트,43
대통령령공공,43
경쟁,43
대통령령중요사항,43
교정,43
방사선,43
비밀,43
추적,43
분양,43
재단,43
신고서,43
사무소,43
대통령령행위,43
위험물,43
수출입,43
개인정보보호,43
심의회,43
목록,43
예금,43
강사,43
대통령령자료,43
항공정보,42
면,42
대통령령지역,42
중계,42
주변,42
지분,42
사료,42
등총리령,42
등총리,42
지배,42
방,42
접속,42
원료,42
납세,42
공업,42
항호,42
수소,42
검사기관,42
성,42
모바일,42
청년,42
사정,42
부담금,42
가치,42
적정,42
청,42
금융감독,42
차관,41
녹색,41
배상,41
재판,41
감염병,41
체,41
파산,41
레저,41
설치운영,41
감,41
통관,41
개시,41
위기,41
농어업,41
대금,41
수단,41
밸브,41
공시,41
온도,41
배출시설,40
변화,40
청장,40
출연,40
특례법,40
산지,40
고려,40
멀티미디어,40
학생,40
영상정보,40
인력시설,40
구축,40
폐수,40
목,40
유지관리,40
관리체계,40
규모이하,40
위생,40
예정,40
령자,40
계산서,40
령해양,40
입주,40
특별조치법,40
대통령령사유해당,40
기후,40
복지부장관고시,40
분리,40
상호,39
실무,39
비축,39
지상,39
준수,39
대통령령일정규모,39
요소,39
건설기계,39
수상,39
소관,39
업무수행,39
가족부,39
사유발생,39
령요건,39
여부,39
대리,39
지점,39
온실가스,39
형태,39
상당,39
운반,39
도,39
문화재,39
기,39
대통령령업무,39
연속,39
항로,39
기법,39
처리시설,39
수량,39
시설관리,39
직업훈련,38
직위,38
소속기관,38
방호,38
회사등,38
충전,38
사업비,38
가입자,38
중요사항변경,38
부장관고시,38
유도,38
토양,38
전파,38
용량,38
수질,38
정화,38
열,38
원천,38
운송사업,38
기재,38
공동부령,38
보육,38
산업기술,38
간접,38
후원,38
환경부,38
관계기관,38
가정,38
정보등,38
채취,38
지속,38
결함,38
관계중앙,38
감면,37
수면,37
대장,37
요건충족,37
공기,37
협의회,37
제공자,37
증,37
연장,37
신호,37
생명,37
수산물,37
시공,37
행정기관장,37
탄소,37
법률조,37
관계중앙행정기관,37
관계중앙행정,37
요양,37
교원,37
지원금,37
설정,37
방사,37
폭,37
중량,37
교환,37
증진,37
우주,37
확보,37
교통부령사항,37
종자,37
국토교통부령사항,37
세,37
부령기준,37
구제,37
멀티미디어방송,37
결제,37
포함,37
특구,36
적격,36
원인,36
구분,36
금융거래,36
역,36
청소,36
투자기구,36
이용시설,36
일부,36
진료,36
고유,36
여객,36
정밀,36
정신,36
감축,36
출입,36
항공안전,36
설립운영,36
법무부령,36
법무,36
자원부장관,36
전통,36
공원,36
대통령령특수,36
대통령령주요,36
공용,36
강제,36
정책국,36
탱크,36
반응,36
학습,36
표면,36
임대차,36
통상자원부장관,35
채널,35
주류,35
산업통상자원부장관,35
데이터베이스,35
최고,35
판정,35
고객,35
령것,35
전기통신,35
잔류,35
공모,35
판결,35
미달,35
사업법,35
연안,35
계약자,35
령사업,35
출원,35
대통령령자격,35
외국인투자,35
필요사항,35
계정,35
위원장,35
코드,35
배터리,35
수색,35
입,35
소요,35
우편,35
축산물,35
안전보건,35
인도,35
령바,35
교육과정,35
지상파,34
농도,34
부실,34
시행자,34
교통부장관,34
특별회계,34
수련,34
액화석유가스,34
대통령령사람,34
기술인력,34
주기,34
부가,34
보험료,34
여성가족부,34
모델,34
관계법령,34
공여,34
지원법률,34
원가,34
산출,34
해충,34
운영법률,34
비행장치,34
선원,34
노후,34
명,34
사채,33
사후,33
공탁,33
물량,33
과세표준,33
국토교통부장관,33
투자자,33
재생에너지,33
총괄과,33
거주,33
인공,33
공무,33
시정,33
법정,33
등대통령령사업,33
법인등,33
노인,33
심사위원회,33
증거,33
예비군,33
간이,33
친화,33
등대통령령시설,33
신용정보,33
투표,33
임용,33
등대통령령자료,33
부처,33
승강기,33
매입,33
조항호,33
국가보훈,33
폐쇄,33
예측,33
소득금액,33
공단,33
등보건복지부령,32
검색,32
보조금,32
면제,32
관리대상,32
등보건복지부,32
증명서류,32
대통령령국가,32
감소,32
금품,32
관련업무,32
령기관,32
전지,32
가족관계,32
중간,32
값,32
문화유산,32
세대,32
총액,32
기간등,32
약,32
대통령령사유해당경우,32
전류,32
예보,32
시설사업,32
수당,32
매각,32
령방법,32
포털,32
직장,32
지명,32
소재지,32
소액,32
스포츠,32
근무자,32
모집,32
자유무역,32
명예,32
부속,32
동,32
병해충,31
여성가족부령,31
공중,31
체육시설,31
대회,31
인력등,31
융합,31
책임관,31
심사과,31
계약체결,31
부채,31
사업주,31
현지,31
해당자,31
용,31
가족부령,31
관리관,31
세무,31
화물자동차,31
미,31
분,31
송,31
통합관리,31
측,31
반환,31
제안서,31
해양부,31
국토해양부,31
기술정보통신,31
사항등,31
반,31
과학기술정보통신,31
법규,31
연구개발사업,31
신문,31
기자재,31
유치,31
회계법,31
연구과제,31
다중,31
독,31
지원센터,31
공공시설,31
정보통신망,31
피,31
령해양수산부령,30
주변지역,30
통신부,30
령해양수산부,30
주행,30
수시,30
추천,30
과학기술정보통신부,30
대통령,30
정보통신부,30
연,30
기술정보통신부,30
회전,30
중대통령령,30
해양부령,30
단독,30
운동,30
세관,30
집중,30
한계,30
중개,30
국적,30
함정,30
부문,30
체류,30
내국,30
식품등,30
수산식품부령,30
농림수산식품부령,30
저축,30
처,30
기본계획,30
구,30
기획관,30
대통령령기준이상,30
반출,30
령기간,30
국방부,30
대통령령비율,30
하도급,30
무기,30
회복,30
국토해양부령,30
활성,30
통신부령,30
정보통신부령,30
령일정,30
인증기관,30
공동주택,30
상업,30
기술정보통신부령,30
생산자,30
명세서,30
도서관,30
정보제공,30
시기,29
사,29
임업,29
해양수산,29
웹,29
해석,29
산업재해보상보험,29
부령중요,29
국방부령,29
사례,29
저감,29
기업부장관고시,29
지휘,29
부하,29
부담,29
경계,29
판,29
압류,29
약정,29
권한,29
문화예술,29
바계산,29
도시개발,29
무역협정,29
학술,29
토지등,29
컨테이너,29
집합투자기구,29
자본금,29
포,29
지침,29
군인,29
대통령령범위,29
유족,29
종목,29
소비,29
실효,29
환경부령사항,29
계통,29
파견,29
기술혁신,29
월,29
대형,29
전시,29
수용,29
소득세,29
특별회계법,29
부령중요사항,29
격,29
누설,29
필요경우등,29
통지,29
전송,29
배당,29
보세,29
관제업무,29
어음,29
제기,29
